data,diario_nao_infetado,acumulado_infetado,acumulado_hospitalizado,acumulado_internadoUCI,acumulado_mortes
2020-04-01,10170223,8251,5664,1293,187
2020-04-02,10170850,9034,6706,1533,209
2020-04-03,10171394,9886,7764,1778,246
2020-04-04,10172111,10524,8839,2029,266
2020-04-05,10173004,11278,9923,2296,295
2020-04-06,10173788,11730,11022,2566,311
2020-04-07,10174230,12442,12202,2837,345
2020-04-08,10175255,13141,13413,3082,380
2020-04-09,10176055,13956,14586,3323,409
2020-04-10,10176830,15472,15765,3549,435
2020-04-11,10177673,15987,16940,3782,470
2020-04-12,10178305,16585,18117,4010,504
2020-04-13,10179051,16934,19304,4198,535
2020-04-14,10179498,17448,20531,4416,567
2020-04-15,10180203,18091,21731,4624,599
2020-04-16,10180895,18841,23033,4853,629
2020-04-17,10181702,19022,24317,5075,657
2020-04-18,10183203,19685,25570,5303,687
2020-04-19,10183713,20206,26813,5527,714
2020-04-20,10184305,20863,28021,5742,735
2020-04-21,10184651,21379,29193,5955,762
2020-04-22,10185160,21982,30339,6162,785
2020-04-23,10185797,22353,31434,6366,820
2020-04-24,10186540,22797,32502,6554,854
2020-04-25,10186719,23392,33542,6740,880
2020-04-26,10187375,23864,34547,6922,903
2020-04-27,10187891,24027,35542,7098,928
2020-04-28,10188541,24322,36478,7270,948
2020-04-29,10189052,24505,37458,7439,973
2020-04-30,10189649,25045,38426,7611,989
2020-05-01,10190016,25351,39318,7765,1007
2020-05-02,10190456,25190,40173,7915,1023
2020-05-03,10191045,25282,41029,8059,1043
2020-05-04,10191512,25524,41842,8202,1063
2020-05-05,10191673,25702,42660,8336,1074
2020-05-06,10191965,26182,43498,8472,1089
2020-05-07,10192146,26715,44372,8607,1105
2020-05-08,10192681,27268,45214,8734,1114
2020-05-09,10192984,27406,46029,8854,1126
2020-05-10,10192825,27581,46826,8966,1135
2020-05-11,10192916,27679,47631,9078,1144
2020-05-12,10193156,27913,48340,9191,1163
2020-05-13,10193332,28132,49032,9294,1175
2020-05-14,10193807,28319,49712,9402,1184
2020-05-15,10194335,28583,50385,9514,1190
2020-05-16,10194882,28810,51042,9629,1203
2020-05-17,10195019,29036,51691,9737,1218
2020-05-18,10195192,29209,52319,9842,1231
2020-05-19,10195289,29432,52948,9943,1247
2020-05-20,10195521,29660,53557,10036,1263
2020-05-21,10195738,29912,54165,10128,1277
2020-05-22,10195923,30200,54741,10212,1289
2020-05-23,10196184,30471,55291,10292,1302
2020-05-24,10196409,30623,55827,10370,1316
2020-05-25,10196633,30788,56358,10442,1330
2020-05-26,10196804,31007,56871,10513,1342
2020-05-27,10197025,31292,57381,10579,1356
2020-05-28,10197251,31596,57893,10644,1369
2020-05-29,10197500,31946,58422,10710,1383
2020-05-30,10197785,32203,58936,10773,1396
2020-05-31,10198053,32500,59410,10837,1410
