Data,Novos Infetados,Novos UCI
2020-04-01,Sem dados,Sem dados
2020-04-02,783,240
2020-04-03,852,245
2020-04-04,638,251
2020-04-05,754,267
2020-04-06,452,270
2020-04-07,712,271
2020-04-08,699,245
2020-04-09,815,241
2020-04-10,1516,226
2020-04-11,515,233
2020-04-12,598,228
2020-04-13,349,188
2020-04-14,514,218
2020-04-15,643,208
2020-04-16,750,229
2020-04-17,181,222
2020-04-18,663,228
2020-04-19,521,224
2020-04-20,657,215
2020-04-21,516,213
2020-04-22,603,207
2020-04-23,371,204
2020-04-24,444,188
2020-04-25,595,186
2020-04-26,472,182
2020-04-27,163,176
2020-04-28,295,172
2020-04-29,183,169
2020-04-30,540,172
2020-05-01,306,154
