data,naoInfetados,Infetados,hospitalizados,internadosUCI,obitos
01-11-2020,10102947,60026,2122,284,37
02-11-2020,10101821,60963,2255,294,46
03-11-2020,10102400,60219,2349,320,45
04-11-2020,10097267,65300,2337,325,59
05-11-2020,10095344,67157,2362,320,46
06-11-2020,10092012,70354,2425,340,52
07-11-2020,10089344,72945,2420,366,56
08-11-2020,10085480,76647,2522,378,48
09-11-2020,10083544,78378,2651,391,63
10-11-2020,10084440,77338,2742,382,62
11-11-2020,10082928,78716,2785,391,82
12-11-2020,10080424,81141,2794,383,78
13-11-2020,10077454,84032,2799,388,69
14-11-2020,10075963,85444,2798,413,55
15-11-2020,10072344,88854,2929,415,76
16-11-2020,10080940,80045,3040,426,91
17-11-2020,10083785,77126,3028,431,81
18-11-2020,10082127,78681,3051,432,79
19-11-2020,10079363,81384,3017,458,69
20-11-2020,10077865,82736,3079,481,61
21-11-2020,10077822,82767,3025,485,62
22-11-2020,10076442,83942,3151,491,73
23-11-2020,10076209,84004,3241,498,74
24-11-2020,10079654,80432,3275,506,85
25-11-2020,10079500,80528,3251,517,71
26-11-2020,10077765,82241,3192,516,82
27-11-2020,10077797,82116,3208,526,67
28-11-2020,10079808,80068,3155,529,87
29-11-2020,10078877,80838,3245,536,64
30-11-2020,10078937,80614,3342,525,78
01-12-2020,10084542,75008,3275,521,72
02-12-2020,10083660,75755,3338,525,68
03-12-2020,10085468,73876,3330,525,79
04-12-2020,10085587,73712,3295,526,79
05-12-2020,10085740,73561,3229,517,73
06-12-2020,10084722,74456,3268,514,87
07-12-2020,10084815,74187,3367,513,78
08-12-2020,10088613,70426,3263,499,81
09-12-2020,10086714,72181,3332,504,70
10-12-2020,10088451,70381,3304,509,86
11-12-2020,10087547,71266,3230,507,95
12-12-2020,10088080,70786,3093,503,88
13-12-2020,10086831,71863,3157,513,98
14-12-2020,10087495,71012,3254,513,90
15-12-2020,10090673,67805,3206,506,84
16-12-2020,10089679,68762,3181,486,82
17-12-2020,10088699,69686,3142,494,87
18-12-2020,10088116,70285,3061,484,75
19-12-2020,10088492,69910,2973,485,86
20-12-2020,10087525,70754,3027,483,71
21-12-2020,10087646,70426,3158,502,57
22-12-2020,10090489,67577,3095,508,63
23-12-2020,10089610,68469,2990,511,89
24-12-2020,10089462,68690,2853,505,70
25-12-2020,10088009,70178,2754,504,65
26-12-2020,10088295,69769,2790,513,78
27-12-2020,10089722,68208,2870,504,63
28-12-2020,10089469,68307,2967,503,58
29-12-2020,10092299,65457,2930,486,74
30-12-2020,10089505,68205,2896,487,79
31-12-2020,10085199,72496,2840,482,76
01-01-2021,10082673,74989,2806,483,66
02-01-2021,10080853,76675,2858,492,73
03-01-2021,10079660,77601,3044,500,73
04-01-2021,10077038,80008,3171,510,78
05-01-2021,10076682,80183,3260,512,90
06-01-2021,10069736,87004,3293,513,91
07-01-2021,10063244,93360,3333,514,95
08-01-2021,10057408,98938,3451,536,118
09-01-2021,10053721,102406,3555,540,111
10-01-2021,10049014,106778,3770,558,102
11-01-2021,10046136,109312,3983,567,122
12-01-2021,10044813,110388,4043,599,155
13-01-2021,10038523,116328,4240,596,156
14-01-2021,10032745,121815,4368,611,148
15-01-2021,10028337,125861,4560,622,159
